scenario,target,n_bins,radius_mode,max_gap,mean_gap,queue_overlap_with_cqs,queue_overlap_with_raeg,robust_events,reference_events,robust_event_gain_vs_raeg,robust_capture_gain_vs_raeg
scope_30airport_rolling,long_arrival_delay,10,bin_abs_gap_x1_5,0.0032348889914428774,0.0011609473465864207,0.9910571702331523,0.6290641967422549,133031.0,113457.0,19574.0,0.06874027666082534
scope_30airport_rolling,long_arrival_delay,10,bin_abs_gap_x2,0.0032348889914428774,0.0011609473465864207,0.9875439156818908,0.630533375918237,133035.0,113457.0,19578.0,0.0687543239228384
scope_30airport_rolling,long_arrival_delay,10,global_max_gap,0.0032348889914428774,0.0011609473465864207,0.9900351325455126,0.6328329607154264,132984.0,113457.0,19527.0,0.06857522133217209
scope_30airport_rolling,long_arrival_delay,20,bin_abs_gap,0.003472806014669483,0.0011943425347705685,0.9936122644522517,0.6277866496327053,132977.0,113457.0,19520.0,0.06855063862364927
scope_30airport_rolling,long_arrival_delay,20,bin_abs_gap_x1_5,0.003472806014669483,0.0011943425347705685,0.9909932928776749,0.6291280740977323,132997.0,113457.0,19540.0,0.06862087493371448
scope_30airport_rolling,long_arrival_delay,20,bin_abs_gap_x2,0.003472806014669483,0.0011943425347705685,0.9883743213030981,0.6302139891408496,133024.0,113457.0,19567.0,0.06871569395230252
scope_30airport_rolling,long_arrival_delay,20,global_max_gap,0.003472806014669483,0.0011943425347705685,0.9892686042797828,0.6332801022037687,132996.0,113457.0,19539.0,0.06861736311821122
scope_30airport_rolling,severe_arrival_delay,5,bin_abs_gap,0.005943454515436375,0.002180033364614882,0.9817310763334398,0.6328968380709039,59307.0,51826.0,7481.0,0.06136343129936922
scope_30airport_rolling,severe_arrival_delay,5,bin_abs_gap_x1_5,0.005943454515436375,0.002180033364614882,0.9696582561481955,0.6372404982433727,59259.0,51826.0,7433.0,0.060969707906457886
scope_30airport_rolling,severe_arrival_delay,5,bin_abs_gap_x2,0.005943454515436375,0.002180033364614882,0.9569466624081763,0.6413286489939316,59178.0,51826.0,7352.0,0.06030529968092
scope_30airport_rolling,severe_arrival_delay,5,global_max_gap,0.005943454515436375,0.002180033364614882,0.9492175023954008,0.6637496007665282,59249.0,51826.0,7423.0,0.060887682199601355
scope_30airport_rolling,severe_arrival_delay,10,bin_abs_gap,0.007726843926873034,0.00220907374018455,0.9874161609709358,0.6224848291280741,59352.0,51826.0,7526.0,0.0617325469802236
scope_30airport_rolling,severe_arrival_delay,10,bin_abs_gap_x1_5,0.007726843926873034,0.00220907374018455,0.9791759821143404,0.6196742254870649,59349.0,51826.0,7523.0,0.061707939268166645
scope_30airport_rolling,severe_arrival_delay,10,bin_abs_gap_x2,0.007726843926873034,0.00220907374018455,0.9699137655701054,0.6169913765570105,59344.0,51826.0,7518.0,0.06166692641473838
scope_30airport_rolling,severe_arrival_delay,10,global_max_gap,0.007726843926873034,0.00220907374018455,0.9341424465027148,0.6759501756627275,59140.0,51826.0,7314.0,0.05999360199486519
scope_30airport_rolling,severe_arrival_delay,20,bin_abs_gap,0.009912573813454228,0.0022178604006289045,0.9907377834557649,0.6267646119450655,59371.0,51826.0,7545.0,0.06188839582325101
scope_30airport_rolling,severe_arrival_delay,20,bin_abs_gap_x1_5,0.009912573813454228,0.0022178604006289045,0.9854359629511338,0.6281699137655701,59330.0,51826.0,7504.0,0.06155209042513924
scope_30airport_rolling,severe_arrival_delay,20,bin_abs_gap_x2,0.009912573813454228,0.0022178604006289045,0.9784733312040882,0.6297029702970297,59284.0,51826.0,7458.0,0.06117477217359921
scope_30airport_rolling,severe_arrival_delay,20,global_max_gap,0.009912573813454228,0.0022178604006289045,0.9149792398594698,0.6919195145320983,58953.0,51826.0,7127.0,0.0584597212766481
scope_30airport_rolling,cancellation,5,bin_abs_gap,0.0020982554533391998,0.000513189394164364,0.9794953688917278,0.7395720217183008,32504.0,30549.0,1955.0,0.042345347426789116
scope_30airport_rolling,cancellation,5,bin_abs_gap_x1_5,0.0020982554533391998,0.000513189394164364,0.9692749920153305,0.7428297668476526,32501.0,30549.0,1952.0,0.04228036735401144
scope_30airport_rolling,cancellation,5,bin_abs_gap_x2,0.0020982554533391998,0.000513189394164364,0.9572660491855637,0.7459597572660492,32465.0,30549.0,1916.0,0.041500606480679256
scope_30airport_rolling,cancellation,5,global_max_gap,0.0020982554533391998,0.000513189394164364,0.9732353880549345,0.7550303417438518,32555.0,30549.0,2006.0,0.04345000866400971
scope_30airport_rolling,cancellation,10,bin_abs_gap,0.0033747461209217705,0.0005358480649941281,0.9874800383264133,0.7219418716065155,32496.0,30549.0,1947.0,0.0421720672327153
scope_30airport_rolling,cancellation,10,bin_abs_gap_x1_5,0.0033747461209217705,0.0005358480649941281,0.9800702650910252,0.7159374001916321,32468.0,30549.0,1919.0,0.04156558655345694
scope_30airport_rolling,cancellation,10,bin_abs_gap_x2,0.0033747461209217705,0.0005358480649941281,0.9722772277227723,0.7091664005110189,32461.0,30549.0,1912.0,0.04141396638364235
scope_30airport_rolling,cancellation,10,global_max_gap,0.0033747461209217705,0.0005358480649941281,0.9586074736505908,0.767230916640051,32535.0,30549.0,1986.0,0.04301680817882516
scope_30airport_rolling,cancellation,20,bin_abs_gap,0.005258535596770142,0.0005526026666829521,0.9888853401469179,0.7312679655062281,32479.0,30549.0,1930.0,0.04180384682030844
scope_30airport_rolling,cancellation,20,bin_abs_gap_x1_5,0.005258535596770142,0.0005526026666829521,0.983072500798467,0.7302459278185883,32482.0,30549.0,1933.0,0.04186882689308612
scope_30airport_rolling,cancellation,20,bin_abs_gap_x2,0.005258535596770142,0.0005526026666829521,0.9770041520281061,0.7287128712871287,32456.0,30549.0,1907.0,0.04130566626234621
scope_30airport_rolling,cancellation,20,global_max_gap,0.005258535596770142,0.0005526026666829521,0.9372724369211115,0.7856914723730437,32515.0,30549.0,1966.0,0.04258360769364062
cross_year_2024_to_2025,long_arrival_delay,5,bin_abs_gap,0.006102429395209968,0.0021513028004882897,0.9919171866137266,0.6453488372093024,86488.0,75347.0,11141.0,0.05970461195485579
cross_year_2024_to_2025,long_arrival_delay,5,bin_abs_gap_x1_5,0.006102429395209968,0.0021513028004882897,0.9869540555870675,0.6459160521837777,86465.0,75347.0,11118.0,0.05958135496940011
cross_year_2024_to_2025,long_arrival_delay,5,bin_abs_gap_x2,0.006102429395209968,0.0021513028004882897,0.9812819058423142,0.6470504821327283,86446.0,75347.0,11099.0,0.05947953398141499
cross_year_2024_to_2025,long_arrival_delay,5,global_max_gap,0.006102429395209968,0.0021513028004882897,0.9852524106636416,0.6576857629041407,86456.0,75347.0,11109.0,0.05953312397509137
cross_year_2024_to_2025,long_arrival_delay,10,bin_abs_gap,0.011595064755101192,0.002137386374949853,0.9886557005104935,0.63471355643789,86482.0,75347.0,11135.0,0.05967245795864996
cross_year_2024_to_2025,long_arrival_delay,10,bin_abs_gap_x1_5,0.011595064755101192,0.002137386374949853,0.982274532047646,0.6294668179239932,86466.0,75347.0,11119.0,0.05958671396876775
cross_year_2024_to_2025,long_arrival_delay,10,bin_abs_gap_x2,0.011595064755101192,0.002137386374949853,0.9763187748156551,0.6242200794100964,86414.0,75347.0,11067.0,0.05930804600165057
cross_year_2024_to_2025,long_arrival_delay,10,global_max_gap,0.011595064755101192,0.002137386374949853,0.9740499149177538,0.66747022121384,86454.0,75347.0,11107.0,0.059522405976356094
cross_year_2024_to_2025,long_arrival_delay,20,bin_abs_gap,0.022897889595356602,0.0021790224705819745,0.9872376630743052,0.6376914350538854,86390.0,75347.0,11043.0,0.05917943001682726
cross_year_2024_to_2025,long_arrival_delay,20,bin_abs_gap_x1_5,0.022897889595356602,0.0021790224705819745,0.9802892796369824,0.6345717526942711,86361.0,75347.0,11014.0,0.059024019035165756
cross_year_2024_to_2025,long_arrival_delay,20,bin_abs_gap_x2,0.022897889595356602,0.0021790224705819745,0.9729154849688032,0.6314520703346569,86357.0,75347.0,11010.0,0.0590025830376952
cross_year_2024_to_2025,long_arrival_delay,20,global_max_gap,0.022897889595356602,0.0021790224705819745,0.9490924560408395,0.6895916052183778,86275.0,75347.0,10928.0,0.05856314508954888
cross_year_2024_to_2025,severe_arrival_delay,5,bin_abs_gap,0.005706082042661487,0.0014988338447024733,0.9746171298922292,0.6446398184912082,40817.0,36487.0,4330.0,0.052044520300968775
cross_year_2024_to_2025,severe_arrival_delay,5,bin_abs_gap_x1_5,0.005706082042661487,0.0014988338447024733,0.957884288145207,0.6449234259784459,40813.0,36487.0,4326.0,0.0519964422221688
cross_year_2024_to_2025,severe_arrival_delay,5,bin_abs_gap_x2,0.005706082042661487,0.0014988338447024733,0.9417186613726602,0.6444980147475894,40719.0,36487.0,4232.0,0.05086660737036948
cross_year_2024_to_2025,severe_arrival_delay,5,global_max_gap,0.005706082042661487,0.0014988338447024733,0.9719228587634714,0.6698808848553602,40794.0,36487.0,4307.0,0.05176807134786894
cross_year_2024_to_2025,severe_arrival_delay,10,bin_abs_gap,0.013041436008778079,0.0018500097186010798,0.9702212138400453,0.6157118547929665,40795.0,36487.0,4308.0,0.051780090867568934
cross_year_2024_to_2025,severe_arrival_delay,10,bin_abs_gap_x1_5,0.013041436008778079,0.0018500097186010798,0.9566080544526375,0.6028077141236529,40748.0,36487.0,4261.0,0.05121517344166927
