event_id,airport,tmi_type,constraint_type,state_peak_hour,delay_peak_hour,cancel_peak_hour,state_peak,delay_peak,cancel_peak,arrivals
157,DEN,GS,weather constraint,1,7,18,2.989231314619909,0.25,0.0384615384615384,868
158,EWR,GS,other constraint,2,-4,2,4.794530828717779,1.0,0.3157894736842105,342
159,EWR,GS,other constraint,4,-2,-5,4.794530828717779,1.0,0.3333333333333333,341
160,ATL,GDP,runway or surface constraint,17,6,5,4.9407727608618535,0.2222222222222222,0.1111111111111111,804
161,DEN,GS,weather constraint,5,3,5,5.28722136294658,0.3698630136986301,0.0909090909090909,773
162,DEN,GDP,weather constraint,5,3,5,5.28722136294658,0.3698630136986301,0.0909090909090909,773
163,ATL,GDP,runway or surface constraint,13,17,2,6.910773460628574,1.0,0.0227272727272727,768
164,ORD,GDP,weather constraint,10,9,6,8.607331487804132,0.7777777777777778,0.2,696
165,ATL,GDP,runway or surface constraint,4,8,13,6.910773460628574,1.0,0.0625,833
166,ORD,GDP,weather constraint,10,9,6,8.607331487804132,0.7777777777777778,0.2,696
167,ORD,GDP,weather constraint,10,9,6,8.607331487804132,0.7777777777777778,0.2,696
168,ORD,GS,weather constraint,2,1,-2,8.607331487804132,0.7777777777777778,0.2,757
169,SFO,GDP,weather constraint,14,6,11,10.719718726582919,0.875,0.2692307692307692,390
170,ORD,GS,weather constraint,3,2,-1,8.607331487804132,0.7777777777777778,0.2,754
171,SFO,GS,weather constraint,12,4,9,10.719718726582919,0.875,0.2692307692307692,390
172,SFO,GDP,weather constraint,14,6,11,10.719718726582919,0.875,0.2692307692307692,390
173,SFO,GDP,weather constraint,3,1,-1,9.196091076607727,0.2941176470588235,0.0714285714285714,385
174,SFO,GS,weather constraint,2,0,-2,9.196091076607727,0.2941176470588235,0.0714285714285714,385
175,DEN,GDP,weather constraint,6,3,5,7.1025301584483085,0.75,0.2,851
176,ATL,GS,weather constraint,1,14,10,1.449301344746162,0.4411764705882353,0.024390243902439,717
177,DEN,GS,facility constraint,13,10,12,7.1025301584483085,0.75,0.2,765
178,DEN,GS,weather constraint,15,3,13,1.978821354013272,0.3333333333333333,0.0588235294117647,883
179,JFK,GDP,weather constraint,7,11,12,6.7149874703597145,1.0,0.3333333333333333,282
180,EWR,GS,weather constraint,1,5,17,1.2269712155633272,0.25,0.0952380952380952,327
181,DEN,GS,weather constraint,6,3,5,7.1025301584483085,0.75,0.2,851
182,JFK,GS,weather constraint,10,14,4,11.693860974327311,1.0,0.3333333333333333,310
183,EWR,GS,weather constraint,10,3,5,10.455628245799627,0.7083333333333334,0.32,365
184,JFK,GS,weather constraint,9,13,3,11.693860974327311,1.0,0.3333333333333333,307
185,LGA,GS,weather constraint,8,4,7,9.481032006769725,0.5833333333333334,0.5263157894736842,388
186,EWR,GS,weather constraint,9,2,4,10.455628245799627,0.7083333333333334,0.32,363
187,LGA,GS,weather constraint,8,4,7,9.481032006769725,0.5833333333333334,0.5263157894736842,388
188,JFK,GS,weather constraint,9,13,3,11.693860974327311,1.0,0.3333333333333333,307
189,LGA,GDP,weather constraint,10,6,9,9.481032006769725,0.5833333333333334,0.5263157894736842,355
190,EWR,GDP,weather constraint,13,6,8,10.455628245799627,0.7083333333333334,0.32,355
191,JFK,GDP,weather constraint,12,16,6,11.693860974327311,1.0,0.3333333333333333,302
192,LGA,GS,weather constraint,6,2,5,9.481032006769725,0.5833333333333334,0.5263157894736842,403
193,EWR,GS,weather constraint,7,0,2,10.455628245799627,0.7083333333333334,0.32,368
194,JFK,GS,other constraint,7,11,1,11.693860974327311,1.0,0.3333333333333333,307
195,EWR,GDP,weather constraint,13,6,8,10.455628245799627,0.7083333333333334,0.32,355
196,LGA,GDP,weather constraint,10,6,9,9.481032006769725,0.5833333333333334,0.5263157894736842,355
197,LGA,GS,weather constraint,12,8,11,9.481032006769725,0.5833333333333334,0.5263157894736842,338
198,LGA,GS,weather constraint,12,8,11,9.481032006769725,0.5833333333333334,0.5263157894736842,338
199,LGA,GS,weather constraint,18,-2,1,10.41385551297701,0.5833333333333334,0.5263157894736842,410
200,LGA,GS,weather constraint,13,10,-3,13.640355890019935,0.72,0.3529411764705882,391
201,LGA,GDP,weather constraint,13,10,-3,13.640355890019935,0.72,0.3529411764705882,391
202,EWR,GDP,weather constraint,11,7,3,12.105340681668618,0.68,0.1304347826086956,357
